epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.551,3.24878,2.06151,1.97989,0.57575,0.3722,0.4111,0.21382,3.3587,2.27083,2.06727,0.00979705,0.00979705,0.00979705
43,143.92,3.22663,2.05203,1.97459,0.50964,0.3642,0.38086,0.18817,3.49294,2.56753,2.11422,0.0097921,0.0097921,0.0097921
44,147.269,3.21464,2.04242,1.96657,0.60556,0.40271,0.40425,0.20705,3.43902,2.29391,2.08043,0.00978715,0.00978715,0.00978715
45,150.348,3.23309,2.01987,1.97292,0.56898,0.41954,0.44116,0.22523,3.31018,2.143,2.04629,0.0097822,0.0097822,0.0097822
46,153.692,3.20526,2.03539,1.97014,0.68161,0.36834,0.41979,0.21441,3.35834,2.18102,2.0687,0.00977725,0.00977725,0.00977725
47,157.012,3.1951,2.00982,1.96743,0.63951,0.3915,0.42052,0.21466,3.40984,2.27494,2.10199,0.0097723,0.0097723,0.0097723
48,160.078,3.18507,1.96677,1.96022,0.62543,0.3747,0.41739,0.2181,3.30885,2.2157,2.05495,0.00976735,0.00976735,0.00976735
49,163.174,3.17904,1.95737,1.95951,0.68239,0.3827,0.44674,0.24196,3.23693,2.12593,2.00731,0.0097624,0.0097624,0.0097624
50,166.247,3.16912,1.95013,1.94975,0.68278,0.36387,0.4154,0.21968,3.32291,2.25191,2.04029,0.00975745,0.00975745,0.00975745
51,169.282,3.15258,1.95069,1.95733,0.69179,0.37896,0.44263,0.22639,3.27253,2.21461,2.05947,0.0097525,0.0097525,0.0097525
52,172.322,3.15952,1.93581,1.94486,0.5711,0.4091,0.43202,0.22473,3.27256,2.10511,2.0435,0.00974755,0.00974755,0.00974755
53,175.442,3.13903,1.91636,1.93887,0.72554,0.3865,0.45055,0.22683,3.27365,2.15541,2.03441,0.0097426,0.0097426,0.0097426
54,178.43,3.13678,1.93581,1.94988,0.62315,0.42477,0.43575,0.2199,3.43601,2.1413,2.07859,0.00973765,0.00973765,0.00973765
55,181.372,3.20221,1.94603,1.96095,0.67592,0.38929,0.44773,0.22887,3.30167,2.14259,2.03571,0.0097327,0.0097327,0.0097327
56,184.306,3.11133,1.90292,1.94703,0.6462,0.36832,0.39054,0.19091,3.57751,2.69508,2.13761,0.00972775,0.00972775,0.00972775
57,187.233,3.10291,1.87361,1.93231,0.63098,0.40144,0.44112,0.23248,3.27501,2.2054,2.04695,0.0097228,0.0097228,0.0097228
58,190.263,3.08804,1.83972,1.92915,0.54221,0.40493,0.42766,0.2221,3.25769,2.11925,2.041,0.00971785,0.00971785,0.00971785
59,193.369,3.13634,1.87077,1.93002,0.656,0.44277,0.47449,0.23781,3.25888,2.06584,2.03727,0.0097129,0.0097129,0.0097129
60,196.259,3.08065,1.8671,1.93252,0.55786,0.45024,0.46252,0.2411,3.2456,2.03165,2.03922,0.00970795,0.00970795,0.00970795
61,199.178,3.09777,1.85368,1.94338,0.66677,0.45219,0.47151,0.24366,3.24662,1.983,2.03318,0.009703,0.009703,0.009703
62,202.08,3.12977,1.84932,1.9413,0.70665,0.39335,0.43096,0.2186,3.30782,2.12213,2.03929,0.00969805,0.00969805,0.00969805
63,204.971,3.12218,1.85364,1.92813,0.72795,0.41727,0.47021,0.24111,3.22878,2.00115,2.0192,0.0096931,0.0096931,0.0096931
