filename,lat,long
00361809.jpg,-0.0011676,-0.0002493
00361820.jpg,-0.0011576,-0.0002946
00361831.jpg,-0.0011136,-0.0003457
00361842.jpg,-0.0010535,-0.0003680
00361853.jpg,-0.0009912,-0.0003856
00361864.jpg,-0.0009284,-0.0003996
00361875.jpg,-0.0008651,-0.0004033
00361886.jpg,-0.0008000,-0.0004043
00361897.jpg,-0.0007360,-0.0004050
00361908.jpg,-0.0006728,-0.0004051
00361919.jpg,-0.0006084,-0.0004053
00361930.jpg,-0.0005443,-0.0004055
00361941.jpg,-0.0004809,-0.0004012
00361952.jpg,-0.0004318,-0.0003836
00361963.jpg,-0.0004320,-0.0003837
00361974.jpg,-0.0004320,-0.0003837
00361985.jpg,-0.0004320,-0.0003837
00361996.jpg,-0.0004320,-0.0003837
00362007.jpg,-0.0004320,-0.0003837
00362018.jpg,-0.0004320,-0.0003837
00362029.jpg,-0.0004320,-0.0003837
00362040.jpg,-0.0004320,-0.0003837
00362051.jpg,-0.0004320,-0.0003837
00362062.jpg,-0.0004320,-0.0003837
00362073.jpg,-0.0004320,-0.0003837
00362084.jpg,-0.0004320,-0.0003837
00362095.jpg,-0.0004320,-0.0003837
00362106.jpg,-0.0004320,-0.0003837
00362117.jpg,-0.0004320,-0.0003837
00362128.jpg,-0.0004320,-0.0003837
00362139.jpg,-0.0004320,-0.0003837
00362150.jpg,-0.0004320,-0.0003837
00362161.jpg,-0.0004268,-0.0003814
00362172.jpg,-0.0003838,-0.0003764
00362183.jpg,-0.0003198,-0.0003597
00362194.jpg,-0.0002722,-0.0003154
00362205.jpg,-0.0002601,-0.0002515
00362216.jpg,-0.0002549,-0.0001874
00362227.jpg,-0.0002536,-0.0001238
00362238.jpg,-0.0002533,-0.0000586
00362249.jpg,-0.0002533,0.0000055
00362260.jpg,-0.0002534,0.0000695
00362271.jpg,-0.0002536,0.0001347
00362282.jpg,-0.0002537,0.0001984
00362293.jpg,-0.0002539,0.0002630
00362304.jpg,-0.0002541,0.0003271
00362315.jpg,-0.0002542,0.0003912
00362326.jpg,-0.0002544,0.0004546
00362337.jpg,-0.0002547,0.0005188
00362348.jpg,-0.0002548,0.0005812
00362359.jpg,-0.0002548,0.0005848
00362370.jpg,-0.0002548,0.0005848
00362381.jpg,-0.0002548,0.0005848
00362392.jpg,-0.0002548,0.0005848
00362403.jpg,-0.0002548,0.0005848
00362414.jpg,-0.0002548,0.0005848
00362425.jpg,-0.0002548,0.0005848
00362436.jpg,-0.0002548,0.0005848
00362447.jpg,-0.0002548,0.0005848
00362458.jpg,-0.0002548,0.0005848
00362469.jpg,-0.0002548,0.0005848
00362480.jpg,-0.0002548,0.0005849
00362491.jpg,-0.0002549,0.0006095
00362502.jpg,-0.0002550,0.0006705
00362513.jpg,-0.0002552,0.0007333
00362524.jpg,-0.0002585,0.0007916
00362535.jpg,-0.0002714,0.0008435
00362546.jpg,-0.0002957,0.0008944
00362557.jpg,-0.0003139,0.0009043
00362568.jpg,-0.0003710,0.0009176
00362579.jpg,-0.0004309,0.0009229
00362590.jpg,-0.0004850,0.0009216
00362601.jpg,-0.0005352,0.0009207
00362612.jpg,-0.0005880,0.0009203
00362623.jpg,-0.0005991,0.0009201
00362634.jpg,-0.0006507,0.0009197
00362645.jpg,-0.0007125,0.0009192
00362656.jpg,-0.0007740,0.0009050
00362667.jpg,-0.0008356,0.0008913
00362678.jpg,-0.0008955,0.0008795
00362689.jpg,-0.0009538,0.0008624
00362700.jpg,-0.0010089,0.0008376
00362711.jpg,-0.0010591,0.0008048
00362722.jpg,-0.0011038,0.0007624
00362733.jpg,-0.0011379,0.0007109
00362744.jpg,-0.0011611,0.0006535
00362755.jpg,-0.0011704,0.0005907
00362766.jpg,-0.0011727,0.0005332
00362777.jpg,-0.0011732,0.0004733
00362788.jpg,-0.0011731,0.0004118
00362799.jpg,-0.0011729,0.0003500
00362810.jpg,-0.0011725,0.0002869
00362821.jpg,-0.0011722,0.0002234
00362832.jpg,-0.0011719,0.0001714
00362843.jpg,-0.0011711,0.0001086
00362854.jpg,-0.0011703,0.0000460
00362865.jpg,-0.0011699,0.0000204
00362876.jpg,-0.0011699,0.0000204
00362887.jpg,-0.0011699,0.0000204
00362898.jpg,-0.0011699,0.0000204
00362909.jpg,-0.0011699,0.0000204
00362920.jpg,-0.0011699,0.0000204
